city,main_location,second_location,map_address,country,start_date,max_numbers,more_one_day,numbers_source,image_url,icon_1,icon_2,icon_3
Porto,City Hall,,"Porto,City Hall,Portugal",Portugal,10/15/2011,20000,No,,https://www.facebook.com/photo.php?fbid=2543913999435&set=a.2543913039411.145705.1301306692&type=1&theater,capital_big_highlight,target,shaded_dot
"Poughkeepsie, NY",Hulme Park,,"Poughkeepsie, NY,Hulme Park,US",US,10/15/2011,100,Yes,http://www.thehudsonvalleynews.com/HVNews/this_week/Entries/2011/10/26_Occupy_Poughkeepsie.html#40,http://a1.sphotos.ak.fbcdn.net/hphotos-ak-snc7/309061_268166953222291_261800210525632_744148_2141511913_n.jpg,capital_big_highlight,target,shaded_dot
Prince George,City Hall,,"Prince George,City Hall,Canada",Canada,10/22/2011,100,No,http://www.opinion250.com/blog/view/21825/1/prince+george+is+'occupied',http://www.opinion250.com/images/OccupyPG_main.jpg,capital_big_highlight,target,shaded_dot
Prishtina,Mother Teresa Square,,"Prishtina,Mother Teresa Square,Kosovo",Kosovo,10/15/2011,40,No,https://twitter.com/#!/GentThaci/status/125246527068319745,http://www.flickr.com/photos/gentthaqi2/sets/72157627774481461/with/6246761384/,capital_big_highlight,target,shaded_dot
"Providence, Rhode Island",Burnside Park,,"Providence, Rhode Island,Burnside Park,USA",USA,10/15/2011,1000,Yes,http://www.boston.com/news/local/rhode_island/articles/2011/10/15/occupy_providence_to_set_up_camp_at_city_park/,http://630wpro.com/Article.asp?id=2311404&spid=37719,capital_big_highlight,target,shaded_dot
"Pueblo, Colorado",Courthouse,8th and Main,"Pueblo, Colorado,Courthouse,USA",USA,October 7th,100,Yes,http://www.chieftain.com/news/local/locals-join-occupy-wall-street-movement/article_aba6ff3e-f169-11e0-86c2-001cc4c03286.html,http://www.chieftain.com/news/local/locals-join-occupy-wall-street-movement/article_aba6ff3e-f169-11e0-86c2-001cc4c03286.html,capital_big_highlight,target,shaded_dot
pula,portarata square,forum,"pula,portarata square,croatia",croatia,15.10.2011,300,No,http://www.glasistre.hr/istra/vijest/343636,http://www.glasistre.hr/obj/292253,capital_big_highlight,target,shaded_dot
Québec,Place de l'Université du Québec,,"Québec,Place de l'Université du Québec,Québec",Québec,22 octobre,250,Yes,,http://www.youtube.com/watch?v=WErtueMXHNY&feature=related,capital_big_highlight,target,shaded_dot
Quito,Plaza San Francisco,Plaza Foch,"Quito,Plaza San Francisco,Ecuador",Ecuador,10/15/2011,100,No,www.ocupaquito.org,https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-ash4/299635_178060182277089_178025298947244_379156_689623054_n.jpg,capital_big_highlight,target,shaded_dot
Raleigh,capital building,moore square,"Raleigh,capital building,usa",usa,na,200,Yes,http://www.facebook.com/OccupyRaleigh,http://a7.sphotos.ak.fbcdn.net/hphotos-ak-ash4/s320x320/314390_10150431476420934_754670933_10459937_1382527635_n.jpg,capital_big_highlight,target,shaded_dot
"Rapid City, South Dakota",Main St. Square,,"Rapid City, South Dakota,Main St. Square,USA",USA,Oct. 15th,80-100,Yes,http://www.facebook.com/media/set/?set=a.164776853613587.38873.158734690884470&type=3,http://www.facebook.com/media/set/?set=a.164776853613587.38873.158734690884470&type=3,capital_big_highlight,target,shaded_dot
"Redding, California",Safeway,Cypress Avenue,"Redding, California,Safeway,USA",USA,10/15/2011,200,Yes,http://www.redding.com/news/2011/oct/15/occupy-redding-ralliers-decry-greed-marchers-on/,http://www.redding.com/news/2011/oct/15/occupy-redding-ralliers-decry-greed-marchers-on/,capital_big_highlight,target,shaded_dot
Regina,Victoria Park,,"Regina,Victoria Park,Canada",Canada,10/15/2011,100,Yes,http://www.cbc.ca/news/canada/saskatchewan/story/2011/10/16/occupy-saskatoon-regina-campouts.html,http://www.cbc.ca/news/canada/saskatchewan/story/2011/10/16/occupy-saskatoon-regina-campouts.html,capital_big_highlight,target,shaded_dot
Reykjavik,Austurvöllur,Lækjartorg,"Reykjavik,Austurvöllur,Iceland",Iceland,15.10.2011,2000,No,http://www.svipan.is/?p=26088,http://www.svipan.is/wp-content/uploads/2011/10/DSC2167.jpg,capital_big_highlight,target,shaded_dot
"Richland, Washington",John Dam Center,,"Richland, Washington,John Dam Center,USA",USA,10/15/2011,300,Yes,http://union-bulletin.com/stories/2011/10/17/occupy-movement-spreads-to-valley,,capital_big_highlight,target,shaded_dot
Richmond,"Kanawha Plaza, 8th and Canal",Virginia,"Richmond,Kanawha Plaza, 8th and Canal,USA",USA,10/15/2011,400,Yes,http://occupyrichmondva.org/,http://a5.sphotos.ak.fbcdn.net/hphotos-ak-snc7/300075_246541288726797_237712702942989_639831_864460803_n.jpg,capital_big_highlight,target,shaded_dot
"Richmond, Virginia",Kanawha Plaza,Monroe Park,"Richmond, Virginia,Kanawha Plaza,USA",USA,10/15/2011,300,Yes,http://www2.timesdispatch.com/news/2011/oct/15/7/demonstrators-begin-filling-monroe-park-ar-1386631/,http://www2.richmond.com/news/2011/oct/17/photos-occupy-richmond-ar-1388323/,capital_big_highlight,target,shaded_dot
Rijeka,Jadran Square,,"Rijeka,Jadran Square,Croatia",Croatia,10.15.11,300,No,http://www.novilist.hr/Vijesti/Rijeka/U-Rijeci-300-prosvjednika-u-Zagrebu-sve-zavrsilo-za-sat-vremena,http://i51.tinypic.com/9zpy8l.jpg,capital_big_highlight,target,shaded_dot
Rochester,Liberty Pole,,"Rochester,Liberty Pole,United States",United States,,150,Yes,http://occupyrochester.org/,http://www.democratandchronicle.com/article/20111004/NEWS01/110040330/Occupy-Rochester-inspired-by-Wall-Street-protests?odyssey=tab%7Ctopnews%7Ctext%7CNews,capital_big_highlight,target,shaded_dot
Rockford,Chase Bank,Beatti Park,"Rockford,Chase Bank,United States",United States,4/10/11,198,Yes,http://occupyrockford.org/,http://occupyrockford.org/,capital_big_highlight,target,shaded_dot
Rotterdam,Beursplein,Meent,"Rotterdam,Beursplein,The Netherlands",The Netherlands,10/15/2011,?,Yes,,http://www.occupyrotterdam.org/2011/10/wie-heeft-fotos-van-de-tenten-die-op-het-beursplein-zijn-opgezet/,capital_big_highlight,target,shaded_dot
Saguenay,parc du Bassin,,"Saguenay,parc du Bassin,Canada",Canada,10/15/2011,tens of people,No,http://www.cyberpresse.ca/le-quotidien/actualites/201110/15/01-4457646-une-manifestation-pacifique-a-saguenay.php?utm_categorieinterne=trafficdrivers&utm_contenuinterne=cyberpresse_vous_suggere_4457658_article_POS1,http://images.lpcdn.ca/435x290/201110/15/387246-instar-evenement-occupons-wall-street.jpg,capital_big_highlight,target,shaded_dot
Saint-Etienne,Place de l'Hôtel de Ville,Place Jean Jaurès,"Saint-Etienne,Place de l'Hôtel de Ville,France",France,10/15/2011,40,Yes,http://www.zoomdici.fr/actualite/Les-indignes-stephanois-ne-mobilisent-pas-les-foules-id113305.html#commentlist,,capital_big_highlight,target,shaded_dot
Salamanca,Salamanca,,"Salamanca,Salamanca,Spain",Spain,4/17/2011,10000,Yes,http://acampadasalamanca.blogspot.com/2011/10/para-hacer-un-recuento-de-la-asistencia.html,http://1.bp.blogspot.com/-STw63OeiB0Y/Tppi4C-wNlI/AAAAAAAAARA/tBZDzKDaNXw/s1600/IMG_3617.JPG,capital_big_highlight,target,shaded_dot
